"","sample_name","new_phenotype"
"421","BAN-C2-64717",0
"422","BAN-C2-65351",0
"423","BAN-C2-66334",0
"424","BAN-C2-66532",0
"425","BAN-C2-66958",0
"426","BAN-P1-29228",1
"427","BAN-P1-41674",1
"428","BAN-P1-41678",1
"429","BAN-P1-41900",1
"430","BAN-P1-42074",1
"431","BAN-P1-42163",1
"432","BAN-P1-42181",1
"433","BAN-P1-42242",1
"434","BAN-P1-42487",1
"435","BAN-P1-42648",1
"436","BAN-P1-42649",1
"437","BAN-P1-43067",1
"438","BAN-P1-43145",1
"439","BAN-P1-43148",1
"440","BAN-P1-43561",1
"441","BAN-P1-43673",1
"442","BAN-P1-43894",1
"443","BAN-P1-44366",1
"444","BAN-P1-44409",1
"445","BAN-P1-44446",1
"446","BAN-P1-44447",1
"447","BAN-P1-44476",1
"448","BAN-P1-44477",1
"449","BAN-P1-44478",1
"450","BAN-P1-44479",1
"451","BAN-P1-44554",1
"452","BAN-P1-44604",1
"453","BAN-P1-44654",1
"454","BAN-P1-44720",1
"455","BAN-P1-44721",1
"456","BAN-P1-44739",1
"457","BAN-P1-44781",1
"458","BAN-P1-44917",1
"459","BAN-P1-44930",1
"460","BAN-P1-44948",1
"461","BAN-P1-45002",1
"462","BAN-P1-45003",1
"463","BAN-P1-45118",1
"464","BAN-P1-45319",1
"465","BAN-P1-45320",1
"466","BAN-P1-45321",1
"467","BAN-P1-45473",1
"468","BAN-P1-45569",1
"469","BAN-P1-45621",1
"470","BAN-P1-45691",1
"471","BAN-P1-45702",1
"472","BAN-P1-45746",1
"473","BAN-P1-45757",1
"474","BAN-P1-45762",1
"475","BAN-P1-45763",1
"476","BAN-P1-45764",1
"477","BAN-P1-45845",1
"478","BAN-P1-45857",1
"479","BAN-P1-45858",1
"480","BAN-P1-45859",1
"481","BAN-P1-45860",1
"482","BAN-P1-45898",1
"483","BAN-P1-45945",1
"484","BAN-P1-45946",1
"485","BAN-P1-46089",1
"486","BAN-P1-46090",1
"487","BAN-P1-46117",1
"488","BAN-P1-46118",1
"489","BAN-P1-46119",1
"490","BAN-P1-46120",1
"491","BAN-P1-46268",1
"492","BAN-P1-46270",1
"493","BAN-P1-46297",1
"494","BAN-P1-46333",1
"495","BAN-P1-46334",1
"496","BAN-P1-46335",1
"497","BAN-P1-46341",1
"498","BAN-P1-46427",1
"499","BAN-P1-46429",1
"500","BAN-P1-46430",1
"501","BAN-P1-46431",1
"502","BAN-P1-46479",1
"503","BAN-P1-46480",1
"504","BAN-P1-46523",1
"505","BAN-P1-46738",1
"506","BAN-P1-46752",1
"507","BAN-P1-46757",1
"508","BAN-P1-46789",1
"509","BAN-P1-46830",1
"510","BAN-P1-46858",1
"511","BAN-P1-46963",1
"512","BAN-P1-46964",1
"513","BAN-P1-46965",1
"514","BAN-P1-47141",1
"515","BAN-P1-47142",1
"516","BAN-P2-45786",1
"517","BAN-P2-47240",1
"518","BAN-P2-47304",1
"519","BAN-P2-47305",1
"520","BAN-P2-47306",1
"521","BAN-P2-47319",1
"522","BAN-P2-47323",1
"523","BAN-P2-47324",1
"524","BAN-P2-47379",1
"525","BAN-P2-47408",1
"526","BAN-P2-47572",1
"527","BAN-P2-47580",1
"528","BAN-P2-47691",1
"529","BAN-P2-47810",1
"530","BAN-P2-47849",1
"531","BAN-P2-47875",1
"532","BAN-P2-47963",1
"533","BAN-P2-47973",1
"534","BAN-P2-47974",1
"535","BAN-P2-48075",1
"536","BAN-P2-48184",1
"537","BAN-P2-48301",1
"538","BAN-P2-48338",1
"539","BAN-P2-48340",1
"540","BAN-P2-48341",1
